{x=1345,m=187,a=274,s=930}
{x=20,m=2192,a=60,s=676}
{x=671,m=626,a=100,s=152}
{x=689,m=412,a=421,s=122}
{x=1731,m=580,a=362,s=1350}
{x=36,m=649,a=981,s=38}
{x=1297,m=599,a=229,s=60}
{x=2834,m=639,a=134,s=1326}
{x=865,m=744,a=1262,s=2732}
{x=517,m=2968,a=639,s=589}
{x=104,m=146,a=39,s=1380}
{x=145,m=514,a=2453,s=1025}
{x=687,m=934,a=21,s=1849}
{x=1723,m=175,a=1943,s=74}
{x=472,m=331,a=543,s=833}
{x=377,m=1266,a=950,s=817}
{x=1465,m=50,a=1282,s=2111}
{x=58,m=858,a=43,s=362}
{x=1438,m=869,a=1244,s=376}
{x=503,m=371,a=357,s=243}
{x=162,m=334,a=1245,s=1004}
{x=143,m=3045,a=323,s=667}
{x=975,m=260,a=743,s=1011}
{x=763,m=856,a=136,s=1562}
{x=1368,m=281,a=367,s=2545}
{x=2054,m=1089,a=268,s=235}
{x=394,m=197,a=2163,s=758}
{x=504,m=1589,a=3239,s=145}
{x=1110,m=2861,a=187,s=1176}
{x=1120,m=84,a=540,s=1345}
{x=237,m=149,a=3151,s=1649}
{x=58,m=1469,a=640,s=2228}
{x=3038,m=2961,a=185,s=1547}
{x=2250,m=364,a=2837,s=1858}
{x=48,m=3452,a=564,s=604}
{x=307,m=232,a=83,s=2055}
{x=357,m=2428,a=2981,s=1214}
{x=1521,m=659,a=144,s=232}
{x=147,m=1558,a=534,s=60}
{x=601,m=34,a=1,s=219}
{x=1016,m=1635,a=557,s=477}
{x=1757,m=290,a=974,s=130}
{x=78,m=357,a=517,s=72}
{x=1096,m=1490,a=567,s=921}
{x=1153,m=1019,a=36,s=2595}
{x=192,m=446,a=3033,s=1157}
{x=196,m=184,a=154,s=474}
{x=1136,m=1187,a=3,s=1408}
{x=1343,m=550,a=1416,s=493}
{x=89,m=220,a=271,s=526}
{x=1607,m=84,a=2392,s=150}
{x=1942,m=1071,a=535,s=3498}
{x=694,m=51,a=640,s=1582}
{x=73,m=1392,a=898,s=952}
{x=55,m=70,a=1293,s=123}
{x=141,m=490,a=1525,s=1256}
{x=248,m=1086,a=48,s=1246}
{x=178,m=2369,a=151,s=303}
{x=549,m=64,a=287,s=313}
{x=536,m=1232,a=8,s=326}
{x=512,m=176,a=248,s=1806}
{x=2664,m=1782,a=1252,s=20}
{x=60,m=1568,a=300,s=773}
{x=69,m=826,a=3039,s=1402}
{x=997,m=509,a=1029,s=1297}
{x=1249,m=2777,a=1088,s=664}
{x=363,m=1196,a=653,s=57}
{x=554,m=633,a=84,s=392}
{x=168,m=321,a=1180,s=378}
{x=49,m=369,a=676,s=1873}
{x=754,m=669,a=195,s=1463}
{x=1298,m=2822,a=1145,s=118}
{x=268,m=36,a=20,s=1382}
{x=362,m=1296,a=1773,s=120}
{x=5,m=479,a=1272,s=191}
{x=240,m=91,a=29,s=782}
{x=299,m=2653,a=150,s=1105}
{x=271,m=245,a=609,s=2319}
